Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? 
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;obtemDAEPorNrDAE;54;14;10;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;[CONSTANTESEMISSAODAE];br.gov.se.sefaz.sae.util.data.DatasSAE;obterMesPorExtenso;70;13;3;1;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirValoresToDocumento;7;1;3;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;atualizarDAEMensal;39;8;7;2;Muitos Parametros;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.EmitirDaeEspecialContribuinte;validarSituacaoContrib;19;7;3;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.gnre.DesmembrarGNRE;process;41;6;13;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.GerarArqRepasseBB;beforeRunTransLess;22;6;8;0;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IncluirPermissaoModelo;obterModelosCadastrados;12;2;5;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.gnre.ConsultarLotesContingencia;run;28;6;7;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.TransacaoIsencaoTributosBase;montarDocumentoMantab;36;9;10;8;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.dae.DesmembrarDAE;process;85;17;14;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.talonario.ConsultarMovimentacaoTalao;getOcorrenciasNavegacao;20;3;9;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.ICMS.AtenderSolicitacaoAutorizadaInicio;doInitialize;33;5;2;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoDAE;registrar;20;4;9;0;Metodo Longo;(1) Discordo Fortemente;;
 A, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;registrarDAEDED;28;3;12;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ItemDetalheDAE;setDocDadosOutrasRec;93;21;16;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.baixarDAEManual.RegistrarBaixaDAEManual;process;61;19;10;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
