Classe                              ;DesignRole                        ;Concorda?;
br.gov.se.sefaz.sae.custodiais.to.periodicidadeReceita.AlterarPeriodicidadeReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoMotivoReceita.ExcluirGMReceitaMensagem;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.campoDoc.ExcluirCampoDoc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.convenio.ConsultarConvenio;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.produtoSAE.ConsultarProdutoSAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoChequeDev.ExcluirSituacaoChequeDev;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDocumento.IncluirTipoDocumento;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.contaRepasse.IncluirContaRepasse;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoAlteracaoDoc.ConsultarMotivoAlteracaoDoc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoContribuinteCateg.IncluirTipoContribuinteCateg;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoOperacao.IncluirTipoOperacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDesconto.IncluirTipoDesconto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoOperacao.AlteracaoTipoOperacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.pessoaNaoInscrita.AlterarPessoaNaoInscrita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoDAEManual.IncluirMotivoDAEManual;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.conversaoReceita.ConsultarConversaoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.receitaObjetoTipo.ExcluirReceitaObjetoTipo;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.vencimentoIcms.ConsultarVencimentoIcms;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.solicitanteSolic.AlterarSolicitanteSolic;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.vencimentoIcms.ExcluirVencimentoIcms;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoMotivoReceita.AlterarGrupoMotivoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.receitaObjeto.AlterarReceitaObjeto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.formaRecolhimentoICMS.ExcluirFormaRecolhimentoMensagem;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoContribuinteCateg.AlterarTipoContribuinteCateg;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.receita.AlterarReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.regimeTributacaoIcms.ConsultarRegimeTributacaoICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.metasArrecadacao.ExcluirMetasArrecadacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.cotacaoIPVA.AlterarCotacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.metasArrecadacao.ConsultarMetasArrecadacao;TRANSACAO;SIM;
